TID;OMRÅDE;KØN;ALDER;CIVILSTAND;INDHOLD
2008K1;Hele landet;I alt;90 år;Gift/separeret;1363
2008K1;Hele landet;I alt;90 år;Enke/enkemand;5841
2008K1;Hele landet;I alt;90 år;Fraskilt;456
2008K1;Hele landet;I alt;91 år;I alt;6863
2008K1;Hele landet;I alt;91 år;Ugift;378
2008K1;Hele landet;I alt;91 år;Gift/separeret;1000
2008K1;Hele landet;I alt;91 år;Enke/enkemand;5079
2008K1;Hele landet;I alt;91 år;Fraskilt;406
2008K1;Hele landet;I alt;92 år;I alt;5322
2008K1;Hele landet;I alt;92 år;Ugift;324
2008K1;Hele landet;I alt;92 år;Gift/separeret;690
2008K1;Hele landet;I alt;92 år;Enke/enkemand;4002
2008K1;Hele landet;I alt;92 år;Fraskilt;306
2008K1;Hele landet;I alt;93 år;I alt;4478
2008K1;Hele landet;I alt;93 år;Ugift;278
2008K1;Hele landet;I alt;93 år;Gift/separeret;479
2008K1;Hele landet;I alt;93 år;Enke/enkemand;3467
2008K1;Hele landet;I alt;93 år;Fraskilt;254
2008K1;Hele landet;I alt;94 år;I alt;3337
2008K1;Hele landet;I alt;94 år;Ugift;220
2008K1;Hele landet;I alt;94 år;Gift/separeret;303
2008K1;Hele landet;I alt;94 år;Enke/enkemand;2646
2008K1;Hele landet;I alt;94 år;Fraskilt;168
2008K1;Hele landet;I alt;95 år;I alt;2563
2008K1;Hele landet;I alt;95 år;Ugift;185
2008K1;Hele landet;I alt;95 år;Gift/separeret;201
2008K1;Hele landet;I alt;95 år;Enke/enkemand;2039
2008K1;Hele landet;I alt;95 år;Fraskilt;138
2008K1;Hele landet;I alt;96 år;I alt;1774
2008K1;Hele landet;I alt;96 år;Ugift;141
